fips_year,county_id,year,fold,split,held_out_state,validation_state
17133-2019,17133,2019,17,test,17,18
17133-2020,17133,2020,17,test,17,18
17133-2022,17133,2022,17,test,17,18
17135-2020,17135,2020,17,test,17,18
17135-2021,17135,2021,17,test,17,18
17135-2022,17135,2022,17,test,17,18
17137-2019,17137,2019,17,test,17,18
17137-2020,17137,2020,17,test,17,18
17137-2022,17137,2022,17,test,17,18
17139-2021,17139,2021,17,test,17,18
17139-2022,17139,2022,17,test,17,18
17141-2019,17141,2019,17,test,17,18
17141-2020,17141,2020,17,test,17,18
17141-2022,17141,2022,17,test,17,18
17143-2019,17143,2019,17,test,17,18
17143-2020,17143,2020,17,test,17,18
17143-2021,17143,2021,17,test,17,18
17143-2022,17143,2022,17,test,17,18
17145-2020,17145,2020,17,test,17,18
17145-2022,17145,2022,17,test,17,18
17147-2021,17147,2021,17,test,17,18
17147-2022,17147,2022,17,test,17,18
17149-2020,17149,2020,17,test,17,18
17151-2020,17151,2020,17,test,17,18
17153-2019,17153,2019,17,test,17,18
17153-2020,17153,2020,17,test,17,18
17153-2021,17153,2021,17,test,17,18
17155-2020,17155,2020,17,test,17,18
17155-2021,17155,2021,17,test,17,18
17155-2022,17155,2022,17,test,17,18
17157-2019,17157,2019,17,test,17,18
17157-2020,17157,2020,17,test,17,18
17157-2021,17157,2021,17,test,17,18
17157-2022,17157,2022,17,test,17,18
17159-2020,17159,2020,17,test,17,18
17161-2020,17161,2020,17,test,17,18
17161-2022,17161,2022,17,test,17,18
17165-2020,17165,2020,17,test,17,18
17165-2021,17165,2021,17,test,17,18
17165-2022,17165,2022,17,test,17,18
17167-2021,17167,2021,17,test,17,18
17169-2020,17169,2020,17,test,17,18
17169-2022,17169,2022,17,test,17,18
17171-2020,17171,2020,17,test,17,18
17171-2022,17171,2022,17,test,17,18
17173-2021,17173,2021,17,test,17,18
17173-2022,17173,2022,17,test,17,18
17175-2019,17175,2019,17,test,17,18
17175-2020,17175,2020,17,test,17,18
17175-2021,17175,2021,17,test,17,18
17175-2022,17175,2022,17,test,17,18
17177-2019,17177,2019,17,test,17,18
17177-2020,17177,2020,17,test,17,18
17177-2021,17177,2021,17,test,17,18
17177-2022,17177,2022,17,test,17,18
17179-2020,17179,2020,17,test,17,18
17179-2021,17179,2021,17,test,17,18
17179-2022,17179,2022,17,test,17,18
17181-2019,17181,2019,17,test,17,18
17181-2020,17181,2020,17,test,17,18
17181-2021,17181,2021,17,test,17,18
17183-2020,17183,2020,17,test,17,18
17183-2021,17183,2021,17,test,17,18
17183-2022,17183,2022,17,test,17,18
17185-2019,17185,2019,17,test,17,18
17185-2020,17185,2020,17,test,17,18
17185-2022,17185,2022,17,test,17,18
17187-2020,17187,2020,17,test,17,18
17187-2022,17187,2022,17,test,17,18
17189-2019,17189,2019,17,test,17,18
17189-2020,17189,2020,17,test,17,18
17189-2021,17189,2021,17,test,17,18
17189-2022,17189,2022,17,test,17,18
17191-2020,17191,2020,17,test,17,18
17191-2022,17191,2022,17,test,17,18
17193-2019,17193,2019,17,test,17,18
17193-2020,17193,2020,17,test,17,18
17193-2021,17193,2021,17,test,17,18
17193-2022,17193,2022,17,test,17,18
17195-2019,17195,2019,17,test,17,18
17195-2020,17195,2020,17,test,17,18
17195-2022,17195,2022,17,test,17,18
17197-2020,17197,2020,17,test,17,18
17197-2022,17197,2022,17,test,17,18
17199-2019,17199,2019,17,test,17,18
17199-2020,17199,2020,17,test,17,18
17199-2022,17199,2022,17,test,17,18
17201-2019,17201,2019,17,test,17,18
17201-2020,17201,2020,17,test,17,18
17201-2021,17201,2021,17,test,17,18
17201-2022,17201,2022,17,test,17,18
17203-2019,17203,2019,17,test,17,18
17203-2020,17203,2020,17,test,17,18
17203-2021,17203,2021,17,test,17,18
17203-2022,17203,2022,17,test,17,18
18001-2019,18001,2019,17,val,17,18
18001-2020,18001,2020,17,val,17,18
18001-2022,18001,2022,17,val,17,18
18003-2019,18003,2019,17,val,17,18
18003-2020,18003,2020,17,val,17,18
18003-2022,18003,2022,17,val,17,18
18005-2022,18005,2022,17,val,17,18
18007-2019,18007,2019,17,val,17,18
18007-2020,18007,2020,17,val,17,18
18007-2021,18007,2021,17,val,17,18
18007-2022,18007,2022,17,val,17,18
18009-2022,18009,2022,17,val,17,18
18011-2019,18011,2019,17,val,17,18
18011-2020,18011,2020,17,val,17,18
18011-2021,18011,2021,17,val,17,18
18011-2022,18011,2022,17,val,17,18
18015-2019,18015,2019,17,val,17,18
18015-2020,18015,2020,17,val,17,18
18015-2022,18015,2022,17,val,17,18
18017-2020,18017,2020,17,val,17,18
18017-2022,18017,2022,17,val,17,18
18019-2020,18019,2020,17,val,17,18
18021-2020,18021,2020,17,val,17,18
18021-2021,18021,2021,17,val,17,18
18021-2022,18021,2022,17,val,17,18
18023-2020,18023,2020,17,val,17,18
18023-2021,18023,2021,17,val,17,18
18023-2022,18023,2022,17,val,17,18
18027-2019,18027,2019,17,val,17,18
18027-2020,18027,2020,17,val,17,18
18027-2021,18027,2021,17,val,17,18
18027-2022,18027,2022,17,val,17,18
18029-2019,18029,2019,17,val,17,18
18029-2020,18029,2020,17,val,17,18
18029-2022,18029,2022,17,val,17,18
18031-2019,18031,2019,17,val,17,18
18031-2020,18031,2020,17,val,17,18
18031-2022,18031,2022,17,val,17,18
18035-2022,18035,2022,17,val,17,18
18037-2022,18037,2022,17,val,17,18
18039-2019,18039,2019,17,val,17,18
18039-2020,18039,2020,17,val,17,18
18039-2021,18039,2021,17,val,17,18
18039-2022,18039,2022,17,val,17,18
18041-2019,18041,2019,17,val,17,18
18041-2020,18041,2020,17,val,17,18
18041-2021,18041,2021,17,val,17,18
18041-2022,18041,2022,17,val,17,18
18045-2020,18045,2020,17,val,17,18
18045-2022,18045,2022,17,val,17,18
18047-2019,18047,2019,17,val,17,18
18047-2020,18047,2020,17,val,17,18
18047-2022,18047,2022,17,val,17,18
18049-2019,18049,2019,17,val,17,18
18049-2020,18049,2020,17,val,17,18
18049-2021,18049,2021,17,val,17,18
18051-2019,18051,2019,17,val,17,18
18051-2020,18051,2020,17,val,17,18
18051-2022,18051,2022,17,val,17,18
18053-2020,18053,2020,17,val,17,18
18053-2022,18053,2022,17,val,17,18
18055-2019,18055,2019,17,val,17,18
18055-2020,18055,2020,17,val,17,18
18055-2021,18055,2021,17,val,17,18
18057-2022,18057,2022,17,val,17,18
18059-2020,18059,2020,17,val,17,18
18059-2022,18059,2022,17,val,17,18
18063-2019,18063,2019,17,val,17,18
18063-2020,18063,2020,17,val,17,18
18063-2021,18063,2021,17,val,17,18
18063-2022,18063,2022,17,val,17,18
18065-2022,18065,2022,17,val,17,18
18067-2020,18067,2020,17,val,17,18
18067-2022,18067,2022,17,val,17,18
18069-2022,18069,2022,17,val,17,18
18071-2022,18071,2022,17,val,17,18
18073-2020,18073,2020,17,val,17,18
18073-2022,18073,2022,17,val,17,18
18075-2019,18075,2019,17,val,17,18
18075-2020,18075,2020,17,val,17,18
18075-2022,18075,2022,17,val,17,18
18077-2019,18077,2019,17,val,17,18
18077-2020,18077,2020,17,val,17,18
18077-2022,18077,2022,17,val,17,18
18079-2022,18079,2022,17,val,17,18
18081-2022,18081,2022,17,val,17,18
18083-2020,18083,2020,17,val,17,18
18083-2022,18083,2022,17,val,17,18
18085-2022,18085,2022,17,val,17,18
18089-2020,18089,2020,17,val,17,18
18089-2022,18089,2022,17,val,17,18
18093-2022,18093,2022,17,val,17,18
18095-2022,18095,2022,17,val,17,18
18097-2020,18097,2020,17,val,17,18
18099-2019,18099,2019,17,val,17,18
18099-2020,18099,2020,17,val,17,18
18099-2021,18099,2021,17,val,17,18
18099-2022,18099,2022,17,val,17,18
18101-2022,18101,2022,17,val,17,18
18103-2020,18103,2020,17,val,17,18
18103-2022,18103,2022,17,val,17,18
18105-2022,18105,2022,17,val,17,18
18107-2019,18107,2019,17,val,17,18
18107-2020,18107,2020,17,val,17,18
18107-2021,18107,2021,17,val,17,18
18109-2022,18109,2022,17,val,17,18
18111-2019,18111,2019,17,val,17,18
18111-2020,18111,2020,17,val,17,18
18111-2021,18111,2021,17,val,17,18
18111-2022,18111,2022,17,val,17,18
18113-2020,18113,2020,17,val,17,18
18113-2022,18113,2022,17,val,17,18
18115-2019,18115,2019,17,val,17,18
18115-2020,18115,2020,17,val,17,18
18119-2020,18119,2020,17,val,17,18
18119-2021,18119,2021,17,val,17,18
18119-2022,18119,2022,17,val,17,18
18121-2019,18121,2019,17,val,17,18
18121-2020,18121,2020,17,val,17,18
18121-2022,18121,2022,17,val,17,18
18123-2022,18123,2022,17,val,17,18
18125-2020,18125,2020,17,val,17,18
18125-2022,18125,2022,17,val,17,18
18127-2019,18127,2019,17,val,17,18
18127-2020,18127,2020,17,val,17,18
18127-2021,18127,2021,17,val,17,18
18127-2022,18127,2022,17,val,17,18
18129-2019,18129,2019,17,val,17,18
18129-2020,18129,2020,17,val,17,18
18129-2021,18129,2021,17,val,17,18
18129-2022,18129,2022,17,val,17,18
18131-2019,18131,2019,17,val,17,18
18131-2020,18131,2020,17,val,17,18
18131-2022,18131,2022,17,val,17,18
18133-2019,18133,2019,17,val,17,18
18133-2020,18133,2020,17,val,17,18
18133-2021,18133,2021,17,val,17,18
18133-2022,18133,2022,17,val,17,18
18135-2019,18135,2019,17,val,17,18
18135-2020,18135,2020,17,val,17,18
18135-2022,18135,2022,17,val,17,18
18137-2020,18137,2020,17,val,17,18
18137-2022,18137,2022,17,val,17,18
18139-2022,18139,2022,17,val,17,18
18141-2019,18141,2019,17,val,17,18
18141-2020,18141,2020,17,val,17,18
18141-2021,18141,2021,17,val,17,18
18141-2022,18141,2022,17,val,17,18
18143-2022,18143,2022,17,val,17,18
18145-2020,18145,2020,17,val,17,18
18145-2022,18145,2022,17,val,17,18
18147-2020,18147,2020,17,val,17,18
18149-2019,18149,2019,17,val,17,18
18149-2020,18149,2020,17,val,17,18
18149-2022,18149,2022,17,val,17,18
18151-2020,18151,2020,17,val,17,18
18151-2022,18151,2022,17,val,17,18
18153-2019,18153,2019,17,val,17,18
18153-2020,18153,2020,17,val,17,18
18153-2022,18153,2022,17,val,17,18
18155-2019,18155,2019,17,val,17,18
18155-2020,18155,2020,17,val,17,18
18157-2019,18157,2019,17,val,17,18
18157-2020,18157,2020,17,val,17,18
18157-2021,18157,2021,17,val,17,18
18157-2022,18157,2022,17,val,17,18
18159-2022,18159,2022,17,val,17,18
18161-2019,18161,2019,17,val,17,18
18161-2020,18161,2020,17,val,17,18
18161-2021,18161,2021,17,val,17,18
18161-2022,18161,2022,17,val,17,18
18163-2019,18163,2019,17,val,17,18
18163-2020,18163,2020,17,val,17,18
18163-2021,18163,2021,17,val,17,18
18163-2022,18163,2022,17,val,17,18
18165-2019,18165,2019,17,val,17,18
18165-2020,18165,2020,17,val,17,18
18165-2021,18165,2021,17,val,17,18
18165-2022,18165,2022,17,val,17,18
18167-2019,18167,2019,17,val,17,18
18167-2020,18167,2020,17,val,17,18
18167-2022,18167,2022,17,val,17,18
18169-2022,18169,2022,17,val,17,18
18171-2019,18171,2019,17,val,17,18
18171-2020,18171,2020,17,val,17,18
18171-2021,18171,2021,17,val,17,18
18173-2019,18173,2019,17,val,17,18
18173-2020,18173,2020,17,val,17,18
18173-2022,18173,2022,17,val,17,18
18177-2019,18177,2019,17,val,17,18
18177-2020,18177,2020,17,val,17,18
18177-2021,18177,2021,17,val,17,18
18177-2022,18177,2022,17,val,17,18
18179-2022,18179,2022,17,val,17,18
18181-2019,18181,2019,17,val,17,18
18181-2020,18181,2020,17,val,17,18
18181-2022,18181,2022,17,val,17,18
18183-2022,18183,2022,17,val,17,18
19001-2019,19001,2019,17,train,17,18
19001-2020,19001,2020,17,train,17,18
19001-2022,19001,2022,17,train,17,18
19003-2020,19003,2020,17,train,17,18
19005-2019,19005,2019,17,train,17,18
19005-2020,19005,2020,17,train,17,18
19005-2021,19005,2021,17,train,17,18
19005-2022,19005,2022,17,train,17,18
19007-2020,19007,2020,17,train,17,18
19007-2021,19007,2021,17,train,17,18
19007-2022,19007,2022,17,train,17,18
19009-2019,19009,2019,17,train,17,18
19009-2020,19009,2020,17,train,17,18
19009-2021,19009,2021,17,train,17,18
19009-2022,19009,2022,17,train,17,18
19011-2019,19011,2019,17,train,17,18
19011-2020,19011,2020,17,train,17,18
19011-2021,19011,2021,17,train,17,18
19011-2022,19011,2022,17,train,17,18
19013-2020,19013,2020,17,train,17,18
19013-2022,19013,2022,17,train,17,18
19015-2019,19015,2019,17,train,17,18
19015-2020,19015,2020,17,train,17,18
19015-2021,19015,2021,17,train,17,18
19015-2022,19015,2022,17,train,17,18
19017-2022,19017,2022,17,train,17,18
19019-2019,19019,2019,17,train,17,18
19019-2020,19019,2020,17,train,17,18
19019-2021,19019,2021,17,train,17,18
19019-2022,19019,2022,17,train,17,18
19021-2019,19021,2019,17,train,17,18
19021-2020,19021,2020,17,train,17,18
19021-2022,19021,2022,17,train,17,18
19023-2021,19023,2021,17,train,17,18
19023-2022,19023,2022,17,train,17,18
19025-2019,19025,2019,17,train,17,18
19025-2020,19025,2020,17,train,17,18
19025-2021,19025,2021,17,train,17,18
19025-2022,19025,2022,17,train,17,18
19027-2020,19027,2020,17,train,17,18
19027-2022,19027,2022,17,train,17,18
19029-2019,19029,2019,17,train,17,18
19029-2020,19029,2020,17,train,17,18
19029-2021,19029,2021,17,train,17,18
19029-2022,19029,2022,17,train,17,18
19031-2020,19031,2020,17,train,17,18
19031-2022,19031,2022,17,train,17,18
19033-2019,19033,2019,17,train,17,18
19033-2020,19033,2020,17,train,17,18
19033-2021,19033,2021,17,train,17,18
19033-2022,19033,2022,17,train,17,18
19035-2019,19035,2019,17,train,17,18
19035-2020,19035,2020,17,train,17,18
19035-2022,19035,2022,17,train,17,18
19037-2022,19037,2022,17,train,17,18
19039-2020,19039,2020,17,train,17,18
19041-2019,19041,2019,17,train,17,18
19041-2020,19041,2020,17,train,17,18
19041-2022,19041,2022,17,train,17,18
19043-2020,19043,2020,17,train,17,18
19043-2021,19043,2021,17,train,17,18
19043-2022,19043,2022,17,train,17,18
19045-2020,19045,2020,17,train,17,18
19045-2022,19045,2022,17,train,17,18
19047-2019,19047,2019,17,train,17,18
19047-2020,19047,2020,17,train,17,18
19047-2022,19047,2022,17,train,17,18
19049-2019,19049,2019,17,train,17,18
19049-2020,19049,2020,17,train,17,18
19049-2021,19049,2021,17,train,17,18
19049-2022,19049,2022,17,train,17,18
19051-2019,19051,2019,17,train,17,18
19051-2020,19051,2020,17,train,17,18
19051-2021,19051,2021,17,train,17,18
19051-2022,19051,2022,17,train,17,18
19053-2020,19053,2020,17,train,17,18
19053-2022,19053,2022,17,train,17,18
19055-2020,19055,2020,17,train,17,18
19055-2021,19055,2021,17,train,17,18
19055-2022,19055,2022,17,train,17,18
19057-2019,19057,2019,17,train,17,18
19057-2020,19057,2020,17,train,17,18
19057-2022,19057,2022,17,train,17,18
19059-2019,19059,2019,17,train,17,18
19059-2020,19059,2020,17,train,17,18
19059-2021,19059,2021,17,train,17,18
19059-2022,19059,2022,17,train,17,18
19061-2020,19061,2020,17,train,17,18
19061-2021,19061,2021,17,train,17,18
19061-2022,19061,2022,17,train,17,18
19063-2022,19063,2022,17,train,17,18
19065-2020,19065,2020,17,train,17,18
19065-2021,19065,2021,17,train,17,18
19065-2022,19065,2022,17,train,17,18
19067-2019,19067,2019,17,train,17,18
19067-2020,19067,2020,17,train,17,18
19067-2021,19067,2021,17,train,17,18
19067-2022,19067,2022,17,train,17,18
19069-2019,19069,2019,17,train,17,18
19069-2020,19069,2020,17,train,17,18
19069-2021,19069,2021,17,train,17,18
19069-2022,19069,2022,17,train,17,18
19071-2020,19071,2020,17,train,17,18
19071-2022,19071,2022,17,train,17,18
19073-2019,19073,2019,17,train,17,18
19073-2020,19073,2020,17,train,17,18
19073-2021,19073,2021,17,train,17,18
19073-2022,19073,2022,17,train,17,18
19075-2020,19075,2020,17,train,17,18
19075-2021,19075,2021,17,train,17,18
19075-2022,19075,2022,17,train,17,18
19077-2019,19077,2019,17,train,17,18
19077-2020,19077,2020,17,train,17,18
19077-2021,19077,2021,17,train,17,18
19077-2022,19077,2022,17,train,17,18
19079-2019,19079,2019,17,train,17,18
19079-2020,19079,2020,17,train,17,18
19079-2022,19079,2022,17,train,17,18
19081-2019,19081,2019,17,train,17,18
19081-2020,19081,2020,17,train,17,18
19081-2021,19081,2021,17,train,17,18
19081-2022,19081,2022,17,train,17,18
19083-2019,19083,2019,17,train,17,18
19083-2020,19083,2020,17,train,17,18
19083-2021,19083,2021,17,train,17,18
19083-2022,19083,2022,17,train,17,18
19085-2020,19085,2020,17,train,17,18
19085-2022,19085,2022,17,train,17,18
19087-2019,19087,2019,17,train,17,18
19087-2020,19087,2020,17,train,17,18
19087-2021,19087,2021,17,train,17,18
19087-2022,19087,2022,17,train,17,18
19089-2020,19089,2020,17,train,17,18
19089-2022,19089,2022,17,train,17,18
19091-2019,19091,2019,17,train,17,18
19091-2020,19091,2020,17,train,17,18
19091-2021,19091,2021,17,train,17,18
19091-2022,19091,2022,17,train,17,18
19093-2020,19093,2020,17,train,17,18
19093-2021,19093,2021,17,train,17,18
19093-2022,19093,2022,17,train,17,18
19095-2019,19095,2019,17,train,17,18
19095-2020,19095,2020,17,train,17,18
19095-2022,19095,2022,17,train,17,18
19097-2020,19097,2020,17,train,17,18
19097-2021,19097,2021,17,train,17,18
19097-2022,19097,2022,17,train,17,18
19099-2021,19099,2021,17,train,17,18
19099-2022,19099,2022,17,train,17,18
19101-2019,19101,2019,17,train,17,18
19101-2020,19101,2020,17,train,17,18
19101-2021,19101,2021,17,train,17,18
19101-2022,19101,2022,17,train,17,18
19103-2019,19103,2019,17,train,17,18
19103-2020,19103,2020,17,train,17,18
19103-2022,19103,2022,17,train,17,18
19105-2020,19105,2020,17,train,17,18
19105-2022,19105,2022,17,train,17,18
19107-2019,19107,2019,17,train,17,18
19107-2020,19107,2020,17,train,17,18
19107-2021,19107,2021,17,train,17,18
19107-2022,19107,2022,17,train,17,18
19109-2019,19109,2019,17,train,17,18
19109-2020,19109,2020,17,train,17,18
19109-2021,19109,2021,17,train,17,18
19109-2022,19109,2022,17,train,17,18
19111-2019,19111,2019,17,train,17,18
19111-2020,19111,2020,17,train,17,18
19111-2021,19111,2021,17,train,17,18
19111-2022,19111,2022,17,train,17,18
19113-2019,19113,2019,17,train,17,18
19113-2020,19113,2020,17,train,17,18
19113-2022,19113,2022,17,train,17,18
19115-2019,19115,2019,17,train,17,18
19115-2020,19115,2020,17,train,17,18
19115-2022,19115,2022,17,train,17,18
19117-2021,19117,2021,17,train,17,18
19117-2022,19117,2022,17,train,17,18
19119-2019,19119,2019,17,train,17,18
19119-2020,19119,2020,17,train,17,18
19119-2021,19119,2021,17,train,17,18
19119-2022,19119,2022,17,train,17,18
19121-2019,19121,2019,17,train,17,18
19121-2020,19121,2020,17,train,17,18
19121-2021,19121,2021,17,train,17,18
19121-2022,19121,2022,17,train,17,18
19123-2021,19123,2021,17,train,17,18
19123-2022,19123,2022,17,train,17,18
19125-2021,19125,2021,17,train,17,18
19125-2022,19125,2022,17,train,17,18
19127-2021,19127,2021,17,train,17,18
19127-2022,19127,2022,17,train,17,18
19129-2020,19129,2020,17,train,17,18
19129-2022,19129,2022,17,train,17,18
19131-2019,19131,2019,17,train,17,18
19131-2020,19131,2020,17,train,17,18
19131-2021,19131,2021,17,train,17,18
19131-2022,19131,2022,17,train,17,18
19133-2019,19133,2019,17,train,17,18
19133-2022,19133,2022,17,train,17,18
19135-2021,19135,2021,17,train,17,18
19135-2022,19135,2022,17,train,17,18
19137-2020,19137,2020,17,train,17,18
19137-2022,19137,2022,17,train,17,18
19139-2020,19139,2020,17,train,17,18
19139-2022,19139,2022,17,train,17,18
19143-2019,19143,2019,17,train,17,18
19143-2020,19143,2020,17,train,17,18
19143-2021,19143,2021,17,train,17,18
19143-2022,19143,2022,17,train,17,18
19145-2019,19145,2019,17,train,17,18
19145-2020,19145,2020,17,train,17,18
19145-2021,19145,2021,17,train,17,18
19145-2022,19145,2022,17,train,17,18
19147-2019,19147,2019,17,train,17,18
19147-2022,19147,2022,17,train,17,18
19149-2019,19149,2019,17,train,17,18
19149-2021,19149,2021,17,train,17,18
19149-2022,19149,2022,17,train,17,18
19151-2022,19151,2022,17,train,17,18
19153-2019,19153,2019,17,train,17,18
19153-2020,19153,2020,17,train,17,18
19153-2021,19153,2021,17,train,17,18
19153-2022,19153,2022,17,train,17,18
19155-2020,19155,2020,17,train,17,18
19155-2022,19155,2022,17,train,17,18
19157-2021,19157,2021,17,train,17,18
19157-2022,19157,2022,17,train,17,18
19159-2020,19159,2020,17,train,17,18
19159-2021,19159,2021,17,train,17,18
19159-2022,19159,2022,17,train,17,18
19161-2019,19161,2019,17,train,17,18
19161-2020,19161,2020,17,train,17,18
19161-2022,19161,2022,17,train,17,18
19163-2020,19163,2020,17,train,17,18
19163-2022,19163,2022,17,train,17,18
19165-2019,19165,2019,17,train,17,18
19165-2020,19165,2020,17,train,17,18
19165-2022,19165,2022,17,train,17,18
19167-2019,19167,2019,17,train,17,18
19167-2020,19167,2020,17,train,17,18
